account_id,company_name,signup_month,month,industry,employee_count,revenue_tier,region,m365_active_users,m365_licensed_seats,teams_daily_active,azure_compute_hours,dynamics_users,security_product,support_tickets,estimated_clv_12mo,churned
1.0,"Rodriguez, Figueroa and Sanchez",7,1,Manufacturing,52,High ,Midwest,0.0,0,0,0.0,0,1,0,71100.0,0
1.0,"Rodriguez, Figueroa and Sanchez",7,2,Manufacturing,52,High,Midwest,0.0,0,0,0.0,0,1,0,71100.0,0
1.0,"Rodriguez, Figueroa and Sanchez",7,3,Manufacturing,52,High,Midwest,0.0,0,0,,0,1,0,71100.0,0
1.0,"Rodriguez, Figueroa and Sanchez",7,4,Manufacturing,52,High ,Midwest,0.0,0,0,0.0,0,1,0,71100.0,0
1.0,"Rodriguez, Figueroa and Sanchez",7,5,Manufacturing,52,High,Midwest,0.0,-1,0,0.0,0,1,0,71100.0,0
1.0,"Rodriguez, Figueroa and Sanchez",7,6,Manufacturing,52,High,Midwest,0.0,0,0,0.0,0,1,0,71100.0,0
1.0,"Rodriguez, Figueroa and Sanchez",7,7,Manufacturing,52,High,Midwest,30.0,30,16,2.89,0,1,1,106200.0,0
1.0,"Rodriguez, Figueroa and Sanchez",7,8,Manufacturing,52,High,Midwest,23.0,29,16,6.42,0,1,2,99683.0,0
1.0,"Rodriguez, Figueroa and Sanchez",7,9,Manufacturing,52,High,Midwest,25.0,33,16,3.62,0,1,2,98564.0,0
1.0,"Rodriguez, Figueroa and Sanchez",7,10,Manufacturing,52,High,Midwest,28.0,31,18,10.34,0,1,2,103152.0,0
1.0,"Rodriguez, Figueroa and Sanchez",7,11,Manufacturing,52,High,Midwest,28.0,34,16,4.84,0,1,1,100641.0,0
1.0,"Rodriguez, Figueroa and Sanchez",7,12,Manufacturing,52, mid,Midwest,30.0,37,15,7.1,0,1,1,100241.0,0
2.0,Doyle Ltd,8,1,Finance,207,Mid,Southwest,0.0,0,0,0.0,0,0,0,30000.0,0
2.0,Doyle Ltd,8,2,Finance,207,Mid,Southwest,0.0,0,0,0.0,0,0,0,30000.0,0
2.0,Doyle Ltd,8,3,Finance,207,Mid,Southwest,0.0,0,0,0.0,0,0,0,30000.0,0
2.0,Doyle Ltd,8,4,Finance,207,Mid,Southwest,0.0,0,0,0.0,0,0,0,30000.0,0
2.0,Doyle Ltd,8,5,Finance,207,Mid,Southwest,,0,0,0.0,0,0,0,30000.0,0
